Fiscal Year,Agency Name,Payee Name,Payee Zip,Amount,Purpose of Payment (Baltimore County only),MBE
2019,Anne Arundel Co. Public Schools,J VINTON SCHAFER & SONS INC,21009,2578909.64,,
2019,Anne Arundel Co. Public Schools,DISCOVERY BENEFITS,58103,2570886.31,,
2019,Anne Arundel Co. Public Schools,Huntington & Hopkins Inc,21031,2381775.14,,
2019,Anne Arundel Co. Public Schools,"PAPCO, iNC.",19014,2376611.1,,
2019,Anne Arundel Co. Public Schools,CBRE Heery Inc,20785,2284984.82,,
2019,Anne Arundel Co. Public Schools,WHITING TURNER CONTRACTING CO,21286,2242254.46,,
2019,Anne Arundel Co. Public Schools,CHESAPEAKE SCIENCE POINT,21076,2147567.46,,
2019,Anne Arundel Co. Public Schools,SIMPSON OF MARYLAND INC,21076-3108,2050776.75,,
2019,Anne Arundel Co. Public Schools,GARY L AISQUITH,21140,1990852.52,,
2019,Anne Arundel Co. Public Schools,CLOVERLAND DAIRY LP,21218,1938686.15,,
2019,Anne Arundel Co. Public Schools,"LEN SEC, LLC",77042,1898713.37,,
2019,Anne Arundel Co. Public Schools,"ST ELIZABETH SCHOOL, INC",21218,1890765.82,,
2019,Anne Arundel Co. Public Schools,SMOLEN EMR ILKOVITCH ARCHITECTS,20850,1854135.23,,
2019,Anne Arundel Co. Public Schools,DOURON INC,21117,1841543.92,,
2019,Anne Arundel Co. Public Schools,CHILDREN'S GUILD INC,21234,1809393.22,,
2019,Anne Arundel Co. Public Schools,BROOKS TRANSPORTATION,21122,1782226.14,,
2019,Anne Arundel Co. Public Schools,STEEL PRODUCTS INC,20850,1753915.41,,
2019,Anne Arundel Co. Public Schools,CIGNA,21046,1729828.22,,
2019,Anne Arundel Co. Public Schools,STELLA MAY CONTRACTING INC,21040,1727383.61,,
2019,Anne Arundel Co. Public Schools,VERIZON,75266-0720,1713504.81,,
2019,Anne Arundel Co. Public Schools,NorthStar Contracting Group,21227,1710181.0,,
2019,Anne Arundel Co. Public Schools,"Brawner Builders, Inc.",21031,1684896.91,,
2019,Anne Arundel Co. Public Schools,"Ricoh USA, Inc",21230,1660894.47,,
2019,Anne Arundel Co. Public Schools,LANE'S BUS SERVICE INC,20776,1604980.41,,
2019,Anne Arundel Co. Public Schools,BALDWIN MECHANICAL CONTRACTORS,21237,1561597.12,,
2019,Anne Arundel Co. Public Schools,CGI Technologies and Solutions Inc,12211,1537124.98,,
2019,Anne Arundel Co. Public Schools,"CAN-AM CONTRACTORS, INC.",20705,1530960.58,,
2019,Anne Arundel Co. Public Schools,EMPLOYEE PLANS SERVICES INC,20910,1506934.53,,
2019,Anne Arundel Co. Public Schools,CGC Holdings Inc dba Capital Seaboard,20794,1496320.9,,
2019,Anne Arundel Co. Public Schools,LINWOOD CHILDRENS CENTER,21043,1411751.0,,
2019,Anne Arundel Co. Public Schools,"J.A. ARGETAKIS CONTRACTING CO., INC.",21224,1341517.04,,
2019,Anne Arundel Co. Public Schools,ASTRO TURF CORP,30721,1295255.0,,
2019,Anne Arundel Co. Public Schools,CT ELECTRICAL CORP,21035,1291815.58,,
2019,Anne Arundel Co. Public Schools,"Gradient Construction, LLC",20732,1259688.31,,
2019,Anne Arundel Co. Public Schools,WILSON'S BUS SERVICE INC,21122,1253914.11,,
2019,Anne Arundel Co. Public Schools,McGraw-Hill Education Inc,43218-2605,1239954.19,,
2019,Anne Arundel Co. Public Schools,TRANE COMPANY,21031,1231411.15,,
2019,Anne Arundel Co. Public Schools,ATLASCOPCO CONSTRUCTION CO,20877,1225038.11,,
2019,Anne Arundel Co. Public Schools,GRIMM AND PARKER PC,20705,1218512.92,,
2019,Anne Arundel Co. Public Schools,COLLEGE BOARD,10281,1209692.0,,
2019,Anne Arundel Co. Public Schools,PowerSchool Group LLC,95630,1196479.87,,
2019,Anne Arundel Co. Public Schools,FAY'S BUS SERVICE INC,21122,1162289.61,,
2019,Anne Arundel Co. Public Schools,TUCKMAN-BARBEE CONSTRUCTION,20774,1128830.5,,
2019,Anne Arundel Co. Public Schools,OAK CONTRACTING L.L.C.,21286,1106127.89,,
2019,Anne Arundel Co. Public Schools,NORTH COUNTY BUS CO INC,21060,1083262.84,,
2019,Anne Arundel Co. Public Schools,Constellation NewEnergy-Gas,60132-2059,1080671.66,,
2019,Anne Arundel Co. Public Schools,IRONSHORE CONTRACTING LLC,21090,1046253.85,,
2019,Anne Arundel Co. Public Schools,C. MUHL BUS SERVICE INC,21123,1037308.56,,
2019,Anne Arundel Co. Public Schools,KINSLEY CONSTRUCTION INC,17405,1027322.98,,
2019,Anne Arundel Co. Public Schools,11400 INC,17601,1027259.27,,
2019,Anne Arundel Co. Public Schools,THE PATHWAYS SCHOOL,20902,1020244.68,,
2019,Anne Arundel Co. Public Schools,"W.B. MASON CO., INC.",21046,985883.24,,
2019,Anne Arundel Co. Public Schools,HORD COPLAN MACHT,21202,971983.6,,
2019,Anne Arundel Co. Public Schools,American Truck & Bus Inc.,21401-7074,940604.52,,
2019,Anne Arundel Co. Public Schools,ARROW CENTER,77365,928235.25,,
2019,Anne Arundel Co. Public Schools,AUTUMN CONTRACTING INC,22151,907834.96,,
2019,Anne Arundel Co. Public Schools,LEE'S ELECTRICAL CONTRACTING,21221,876804.8,,
2019,Anne Arundel Co. Public Schools,AUDIO VISUAL INNOVATIONS INC,21045,814174.21,,
2019,Anne Arundel Co. Public Schools,NICHOLAS P PIPINO & ASSOCIATE,20794,796677.98,,
2019,Anne Arundel Co. Public Schools,Houghton Mifflin/Harcourt,32819,778314.43,,
2019,Anne Arundel Co. Public Schools,BELL TECHLOGIX,23294,776293.07,,
2019,Anne Arundel Co. Public Schools,IMAGE ASPHALT MAINTENANCE INC,21122,763652.57,,
2019,Anne Arundel Co. Public Schools,L & R ENTERPRISES Inc.,20781,758273.32,,
2019,Anne Arundel Co. Public Schools,Culinary Ventures Maryland,20736,756980.58,,
2019,Anne Arundel Co. Public Schools,TCA ARCHITECTS,21032,750698.6,,
2019,Anne Arundel Co. Public Schools,CLYDE MCHENRY INC,20781,737757.49,,
2019,Anne Arundel Co. Public Schools,JAMES POSEY ASSOCIATES INC,21117,719468.97,,
2019,Anne Arundel Co. Public Schools,MANSFIELD OIL COMPANY,30501,701857.95,,
2019,Anne Arundel Co. Public Schools,RELIABLE CONTRACTING CO INC,21054,693613.89,,
2019,Anne Arundel Co. Public Schools,CHIMES INC,21215,684271.27,,
2019,Anne Arundel Co. Public Schools,J&K CONTRACTING,20772,679640.5,,
2019,Anne Arundel Co. Public Schools,WATER & SEWAGE SERVICE,21404,669721.99,,
2019,Anne Arundel Co. Public Schools,SF&C INSURANCE ASSOCIATES INC,21204,660302.54,,
2019,Anne Arundel Co. Public Schools,LINDSAY FORD,20902,620200.0,,
2019,Anne Arundel Co. Public Schools,GWWO,21211,613053.71,,
2019,Anne Arundel Co. Public Schools,SYSTCOM INC,21226,613031.0,,
2019,Anne Arundel Co. Public Schools,INTERIOR SPECIALISTS INC,21162,608395.87,,
2019,Anne Arundel Co. Public Schools,DAKTRONICS INC,57006-5128,595160.5,,
2019,Anne Arundel Co. Public Schools,"PERFORMANCE MATTERS, LLC",78746,594825.0,,
2019,Anne Arundel Co. Public Schools,HCGI HARTFORD,21044,593140.32,,
2019,Anne Arundel Co. Public Schools,REGIONAL INSTITUTE FOR,21229,591022.0,,
2019,Anne Arundel Co. Public Schools,Baltimore Lab School Inc,21218,572960.64,,
2019,Anne Arundel Co. Public Schools,MD CHILD SUPPORT,21297-1396,567924.53,,
2019,Anne Arundel Co. Public Schools,Veritiv Operating Co,20794,566959.61,,
2019,Anne Arundel Co. Public Schools,INDEPENDENT HARDWARE INC,19106,548982.69,,
2019,Anne Arundel Co. Public Schools,KONE INC,21090,546607.94,,
2019,Anne Arundel Co. Public Schools,ASSOCIATED CABS INC,60693-0322,536271.22,,
2019,Anne Arundel Co. Public Schools,EMH ENVIRONMENTAL INC,21738,532067.0,,
2019,Anne Arundel Co. Public Schools,INTERNATIONAL BACCALAUREATE,10115,531313.0,,
2019,Anne Arundel Co. Public Schools,E PIKOUNIS CONSTRUCTION CO INC,21231,529867.94,,
2019,Anne Arundel Co. Public Schools,"Myco Mechanical, Inc.",18969,518130.0,,
2019,Anne Arundel Co. Public Schools,Game Time,28224,516162.66,,
2019,Anne Arundel Co. Public Schools,NASTOS CONSTRUCTION,20019,509721.87,,
2019,Anne Arundel Co. Public Schools,LORENZ LAWN AND LANDSCAPE INC,21208,504863.0,,
2019,Anne Arundel Co. Public Schools,MARYLAND ENVIRONMENTAL SERVICE,21108,498611.92,,
2019,Anne Arundel Co. Public Schools,JNA PAINTING CO INC,21224,497409.08,,
2019,Anne Arundel Co. Public Schools,GL GROUP INC,63110,496472.97,,
2019,Anne Arundel Co. Public Schools,Rutherford Supply Corporation,20794,496062.16,,
2019,Anne Arundel Co. Public Schools,BALTIMORE COUNTY PUBLIC SCHOOL,21204,491080.98,,
2019,Anne Arundel Co. Public Schools,HORACE MANN INSURANCE CO,62715,485935.37,,
2019,Anne Arundel Co. Public Schools,Comcast Business Communications,21236,471332.77,,
2019,Anne Arundel Co. Public Schools,WHEELER GOODMAN MASEK,21401,466540.3,,
2019,Anne Arundel Co. Public Schools,CURRICULUM ASSOCIATES LLC,01862-0901,456687.77,,
2019,Anne Arundel Co. Public Schools,S FREEDMAN & SONS INC,20785,450244.21,,
2019,Anne Arundel Co. Public Schools,BENELOGIC LLC,21093,449990.0,,
2019,Anne Arundel Co. Public Schools,BARCO ENTERPRISES INC,21164-0074,443691.59,,
2019,Anne Arundel Co. Public Schools,VSC FIRE & SECURITY INC,20794,442260.21,,
2019,Anne Arundel Co. Public Schools,TITO CONTRACTORS INC,20012,441647.06,,
2019,Anne Arundel Co. Public Schools,FIRE-MAK INC,21784-0361,439148.59,,
2019,Anne Arundel Co. Public Schools,OFFICE DEPOT,21046,430741.73,,
2019,Anne Arundel Co. Public Schools,MOTOROLA SOLUTIONS INC,21090,426892.13,,
2019,Anne Arundel Co. Public Schools,PEARSON EDUCATION,85246,426121.64,,
2019,Anne Arundel Co. Public Schools,Outdoor Aluminum Inc,36340,424900.0,,
2019,Anne Arundel Co. Public Schools,"Carney, Kelehan, Bresler, Bennett & Scherr LLP",21401,422724.53,,
2019,Anne Arundel Co. Public Schools,Modular Genius Inc,21085,415033.71,,
2019,Anne Arundel Co. Public Schools,ALLIANCE TECHNOLOGY GROUP LLC,21076,409234.01,,
2019,Anne Arundel Co. Public Schools,ENGINEERED CONSTRUCTION PRODUCT,21703,407264.99,,
2019,Anne Arundel Co. Public Schools,TJ DISTRIBUTORS  INC,21050-2560,402035.65,,
2019,Anne Arundel Co. Public Schools,FPC Distribution,21075,401214.54,,
2019,Anne Arundel Co. Public Schools,Window Consultants Inc.,21117,398971.5,,
2019,Anne Arundel Co. Public Schools,HILLIS-CARNES ENGINEERING,20701,393527.0,,
2019,Anne Arundel Co. Public Schools,"hand2mind, Inc.",60061-1862,393252.48,,
2019,Anne Arundel Co. Public Schools,SCHOOL SPECIALTY,54912-1579,386397.99,,
2019,Anne Arundel Co. Public Schools,Century Ford of Mt. Airy Inc,21771,385360.0,,
2019,Anne Arundel Co. Public Schools,COLE ROOFING CO INC,21229,378968.89,,
2019,Anne Arundel Co. Public Schools,HEER BROTHERS INC,21226,378311.71,,
2019,Anne Arundel Co. Public Schools,"GALE ASSOCIATES, INC.",21204,375737.65,,
2019,Anne Arundel Co. Public Schools,Greenwood Publishing DBA Heinemann,03802-6926,365011.71,,
2019,Anne Arundel Co. Public Schools,"ASHLAND EQUIPMENT, INC.",21017-1205,357214.72,,
2019,Anne Arundel Co. Public Schools,"Republic Services, Inc.",21230,352483.97,,
2019,Anne Arundel Co. Public Schools,GOUCHER COLLEGE,21204,351372.0,,
2019,Anne Arundel Co. Public Schools,"Fresh Air Concepts, LLC",21090,347429.26,,
2019,Anne Arundel Co. Public Schools,BENEDICTINE SCHOOL FOR EXCEPTIONAL CHILDREN,21660,345655.55,,
2019,Anne Arundel Co. Public Schools,PETROLEUM MANAGEMENT INC,21226,344822.6,,
2019,Anne Arundel Co. Public Schools,"GRANDSTAND DESIGN ENTERPRISES, INC.",21401,334780.0,,
2019,Anne Arundel Co. Public Schools,LINDEN COOKIES INC,10920,331196.06,,
2019,Anne Arundel Co. Public Schools,WENGER CORPORATION,55060,329786.0,,
2019,Anne Arundel Co. Public Schools,CDI COMPUTER DEALERS INC,21224,321429.97,,
2019,Anne Arundel Co. Public Schools,BEST FENCE,21061,319489.13,,
2019,Anne Arundel Co. Public Schools,"MARYLAND SOUND & IMAGE, INC.",21133,318752.63,,
2019,Anne Arundel Co. Public Schools,AON CONSULTING INC,20036,317986.94,,
2019,Anne Arundel Co. Public Schools,"LearnZillion, Inc.",20016,317753.0,,
2019,Anne Arundel Co. Public Schools,"Air Tech Refrigeration & Mechanical Contractors, Inc.",21220,317327.3,,
2019,Anne Arundel Co. Public Schools,SAAAAC,21401,312945.56,,
2019,Anne Arundel Co. Public Schools,APPLE COMPUTER INC,78727,305104.0,,
2019,Anne Arundel Co. Public Schools,CLARK FOOD SERVICE EQUIPMENT,17602,300992.12,,
2019,Anne Arundel Co. Public Schools,A A CO ACCOUNTING AND CONTROL,21404,300189.44,,
2019,Anne Arundel Co. Public Schools,VERIZON WIRELESS,20701-1261,295966.72,,
2019,Anne Arundel Co. Public Schools,Ernest Corry III DBA SOURCE MAINTENANCE PRODUCTS,20754,294665.07,,
2019,Anne Arundel Co. Public Schools,"WHITMAN, REQUARDT & ASSOCIATES",21231,294398.48,,
2019,Anne Arundel Co. Public Schools,"COMPLETE BUILDING SYSTEMS, INC.",21114,293476.02,,
2019,Anne Arundel Co. Public Schools,Delta T Group Maryland Inc,19010,291948.37,,
2019,Anne Arundel Co. Public Schools,MD STATE DEPT OF EDUCATION,21201,285732.47,,
2019,Anne Arundel Co. Public Schools,PESSOA CONSTRUCTION CO,20743,283038.7,,
2019,Anne Arundel Co. Public Schools,"Goode Companies, Inc.",20770,281071.75,,
2019,Anne Arundel Co. Public Schools,ANNE ARUNDEL COMMUNITY COLLEGE,21012,273964.19,,
2019,Anne Arundel Co. Public Schools,BSN Sports Inc,75209,271998.28,,
2019,Anne Arundel Co. Public Schools,DEPARTMENT OF JUVENILE JUSTICE,21403,266982.68,,
2019,Anne Arundel Co. Public Schools,MARYLAND UNEMPLOYMENT INSURANCE FUND,21203-0084,265132.91,,
2019,Anne Arundel Co. Public Schools,EDUCATORS FINANCIAL GROUP,21044,262082.39,,
2019,Anne Arundel Co. Public Schools,DISCOVERY EDUCATION,20910,261280.0,,
2019,Anne Arundel Co. Public Schools,SCHMIDT BAKING CO INC,21236,256829.02,,
2019,Anne Arundel Co. Public Schools,COASTAL SUNBELT PRODUCE CO,20763,254679.95,,
2019,Anne Arundel Co. Public Schools,Inquiries Acquisition LLC,21601,250319.5,,
2019,Anne Arundel Co. Public Schools,Excel Professional Staffing LLC,30384-3826,247222.5,,
2019,Anne Arundel Co. Public Schools,"Social Sentinel, Inc.",05401,246000.0,,
2019,Anne Arundel Co. Public Schools,Building Energy Holding US LLC,20005,244087.87,,
2019,Anne Arundel Co. Public Schools,GRAINGER,20701-1125,243673.35,,
2019,Anne Arundel Co. Public Schools,"DADE PAPER AND BAG COMPANY, INC.",20794,239278.61,,
2019,Anne Arundel Co. Public Schools,LIGHTSPEED TECHNOLOGIES,97062,238074.5,,
2019,Anne Arundel Co. Public Schools,AEROSOL MONITORING & ANALYSIS,21076,233361.5,,
2019,Anne Arundel Co. Public Schools,Thrive Behavioral Health LLC,21237,225969.11,,
2019,Anne Arundel Co. Public Schools,CITY OF ANNAPOLIS,21401,225711.41,,
2019,Anne Arundel Co. Public Schools,TYCO Fire & Security (US) Management Inc,15252,224188.24,,
2019,Anne Arundel Co. Public Schools,Treasure Coast Maintenance Suppliers,34957,223842.31,,
2019,Anne Arundel Co. Public Schools,Digital Information Services,20854,223531.21,,
2019,Anne Arundel Co. Public Schools,RAPTOR TECHNOLOGIES,77270,217317.25,,
2019,Anne Arundel Co. Public Schools,CENTRAL TRUCK CENTER,20785,216480.0,,
2019,Anne Arundel Co. Public Schools,VISUAL SOUND,21227,215834.0,,
2019,Anne Arundel Co. Public Schools,HERSHEY'S ICE CREAM,21075,213838.2,,
2019,Anne Arundel Co. Public Schools,AVID CENTER,92123,213743.5,,
2019,Anne Arundel Co. Public Schools,UNUM LIFE INS CO OF AMERICA,04122,213622.64,,
2019,Anne Arundel Co. Public Schools,U.S. DEPT. OF EDUCATION,30348-5081,213346.05,,
2019,Anne Arundel Co. Public Schools,AMER FED OF ST CO MUNICIP EMPL,21230,208805.55,,
2019,Anne Arundel Co. Public Schools,MOUNTAIN MANOR TREATMENT CTR.,21229,207821.7,,
2019,Anne Arundel Co. Public Schools,FROEHLING & ROBERTSON INC,20794,206983.09,,
2019,Anne Arundel Co. Public Schools,ACT Inc DBA ACT Education Inc,52243-0168,205827.5,,
2019,Anne Arundel Co. Public Schools,SCHOLARSHIPS FOR SCHOLARS,21401,204952.58,,
2019,Anne Arundel Co. Public Schools,"PRISMA, LLC",20910,204850.4,,
2019,Anne Arundel Co. Public Schools,YOUTH IN TRANSITION SCHOOL,21244,204645.5,,
2019,Anne Arundel Co. Public Schools,"East Coast Welding and Construction Co., Inc.",21061-3225,201955.0,,
2019,Anne Arundel Co. Public Schools,RE Sheehi Trucking & Paving LLC,20639,201085.77,,
2019,Anne Arundel Co. Public Schools,Bayside Fire Protection,20736,200935.46,,
2019,Anne Arundel Co. Public Schools,Allied Instructional Services,23005,200884.82,,
2019,Anne Arundel Co. Public Schools,CATAPULT LEARNING DBA Specialized Ed of Md. Inc,08103,199590.91,,
2019,Anne Arundel Co. Public Schools,J.T.M. PROVISIONS CO.,45030,197853.38,,
2019,Anne Arundel Co. Public Schools,"ClassLink, Inc.",07011,192995.0,,
2019,Anne Arundel Co. Public Schools,INTERLINE BRANDS INC,32207,192849.76,,
2019,Anne Arundel Co. Public Schools,ASSO OF EDUC LEADERS INC,21012,190718.91,,
2019,Anne Arundel Co. Public Schools,CN ROBINSON LIGHTING SUPPLY,21227,188237.79,,
2019,Anne Arundel Co. Public Schools,LANGE ELECTRIC CO INC,21230-2730,186508.83,,
2019,Anne Arundel Co. Public Schools,"Glass Industries, LLC",21208,183862.36,,
2019,Anne Arundel Co. Public Schools,MARTEL LABS INC,21286,182958.7,,
2019,Anne Arundel Co. Public Schools,MASTER CARE FLOORING INC,21229,180344.26,,
2019,Anne Arundel Co. Public Schools,BLACKBOARD CONNECT INC DBA Blackboard Inc,91403,176307.45,,
2019,Anne Arundel Co. Public Schools,GANNETT FLEMING INC,21244,176205.6,,
2019,Anne Arundel Co. Public Schools,JOHNSON MIRMIRAN & THOMPSON,21030,173589.62,,
2019,Anne Arundel Co. Public Schools,TOTAL KITCHEN CARE,21108,173143.3,,
2019,Anne Arundel Co. Public Schools,ATC Corp.,21222,172092.0,,
2019,Anne Arundel Co. Public Schools,THE MARYLAND SCHOOL FOR THE BLIND,21236,170233.21,,
2019,Anne Arundel Co. Public Schools,"MYTHICS, INC",23462,169702.31,,
2019,Anne Arundel Co. Public Schools,LIBRARY CORPORATION (THE),25428-9733,169174.0,,
2019,Anne Arundel Co. Public Schools,WARWICK SUPPLY & EQUIP CO INC,21031,168133.49,,
2019,Anne Arundel Co. Public Schools,BIGNELL WATKINS HASSER,21401,167277.17,,
2019,Anne Arundel Co. Public Schools,HomeRite of Baltimore LLC,21244,166725.0,,
2019,Anne Arundel Co. Public Schools,MAGOTHY TECHNOLOGY LLC,21060,165386.65,,
2019,Anne Arundel Co. Public Schools,Human Development Corp DBA SUMMIT SCHOOL,21037,163396.1,,
2019,Anne Arundel Co. Public Schools,DANCE BROTHERS INC,21090,161797.16,,
2019,Anne Arundel Co. Public Schools,RUDOLPH'S OFFICE & COMPUTER SUPPLY INC,21075,161468.71,,
2019,Anne Arundel Co. Public Schools,BELTWAY INTER TRUCKS INC DBA CAPITAL CITIES,21227,160122.0,,
2019,Anne Arundel Co. Public Schools,MICROSOFT CORPORATION,75039,159800.64,,
2019,Anne Arundel Co. Public Schools,PHANTOM TECHNOLOGIES INC,02110,157185.01,,
2019,Anne Arundel Co. Public Schools,Morelli-Hoskins Ford Inc,19320,156160.0,,
2019,Anne Arundel Co. Public Schools,RJ MCCARVILLE ASSOC,19464,154841.0,,
2019,Anne Arundel Co. Public Schools,American Air Filter Company Inc,21224,154440.07,,
2019,Anne Arundel Co. Public Schools,STROHECKER INC,20736,153661.14,,
2019,Anne Arundel Co. Public Schools,Johnson Truck Center,20785,153407.0,,
2019,Anne Arundel Co. Public Schools,GB Marketing Inc DBA FRANKLIN TOYS,21146,153337.97,,
2019,Anne Arundel Co. Public Schools,SCANTRON CORP,92705,152321.81,,
2019,Anne Arundel Co. Public Schools,JOHNSON CONTROLS INC,21152,147236.23,,
2019,Anne Arundel Co. Public Schools,A-L ABATEMENT INC,21236,146045.0,,
2019,Anne Arundel Co. Public Schools,Greenlink Incorporated,20872,144960.0,,
2019,Anne Arundel Co. Public Schools,ROSETTA STONE LTD,22801,144000.0,,
2019,Anne Arundel Co. Public Schools,TIDAL TECHNOLOGIES CORPORATION,21061,142224.72,,
2019,Anne Arundel Co. Public Schools,Total Green Janitorial Supplies,34985-9463,141848.01,,
2019,Anne Arundel Co. Public Schools,WASHINGTON MUSIC CTR,20902,139853.7,,
2019,Anne Arundel Co. Public Schools,BLACKBOARD INC,46240,139526.29,,
2019,Anne Arundel Co. Public Schools,GRAYBAR ELECTRIC CO INC,30384,139144.72,,
2019,Anne Arundel Co. Public Schools,Aireco Supply Inc  DBA M&M CONTROLS INC,21093,138924.71,,
2019,Anne Arundel Co. Public Schools,WOLVERINE BRASS INC,28289-0713,137692.78,,
2019,Anne Arundel Co. Public Schools,"EXPLORELEARNING, INC.",22902,137500.0,,
2019,Anne Arundel Co. Public Schools,TOWSON UNIVERSITY,21252,136766.0,,
2019,Anne Arundel Co. Public Schools,SUNTEX INTERNATIONAL INC,18045,136335.99,,
